photo_ID,photo_owner,latitude,longitude
31153922314,100860509@N07,40.571196,-73.997683
31152076614,11504096@N08,40.863639,-73.881631
31875535101,11504096@N08,40.863639,-73.881631
31875308691,66159648@N00,40.758891,-73.981423
31617269580,59114488@N00,40.768038,-73.981816
31150011024,128191152@N04,40.758461,-73.977462
31154350804,85735042@N07,40.766900,-73.976975
31154349324,85735042@N07,40.766094,-73.976198
31154347354,85735042@N07,40.775469,-73.973900
31154346364,85735042@N07,40.776241,-73.973595
31994788195,85735042@N07,40.778855,-73.971703
31994787745,85735042@N07,40.775016,-73.966637
31994787175,85735042@N07,40.774597,-73.970000
31994786615,85735042@N07,40.774516,-73.970750
31994785815,85735042@N07,40.774472,-73.970681
31994784605,85735042@N07,40.761519,-73.984834
31994783705,85735042@N07,40.764172,-73.999345
31994783025,85735042@N07,40.765358,-74.001275
31994782795,85735042@N07,40.765075,-74.000717
31994782485,85735042@N07,40.764947,-74.000817
31994781785,85735042@N07,40.764961,-74.000367
31994780795,85735042@N07,40.765594,-74.002517
31994780195,85735042@N07,40.765038,-74.002273
31994778925,85735042@N07,40.764855,-74.002342
31994778305,85735042@N07,40.765019,-74.001389
31994777805,85735042@N07,40.763702,-74.000887
31994776025,85735042@N07,40.764661,-74.000648
31994774535,85735042@N07,40.764263,-73.999664
31994772045,85735042@N07,40.764325,-73.999834
31994771195,85735042@N07,40.764636,-74.000664
31994769085,85735042@N07,40.764652,-74.000678
31994767765,85735042@N07,40.764797,-74.000970
31994766905,85735042@N07,40.764866,-74.000856
31994762615,85735042@N07,40.688938,-74.044259
31994761675,85735042@N07,40.688938,-74.044259
31620661070,85735042@N07,40.688938,-74.044259
31620659960,85735042@N07,40.688938,-74.044259
31620657570,85735042@N07,40.689286,-74.044464
31620655570,85735042@N07,40.689277,-74.044450
31620654220,85735042@N07,40.689277,-74.044450
31620653170,85735042@N07,40.689286,-74.044481
31154317974,85735042@N07,40.689277,-74.044464
31154317564,85735042@N07,40.689022,-74.044517
31994757755,85735042@N07,40.689022,-74.044517
31154315744,85735042@N07,40.689055,-74.044800
31154314874,85735042@N07,40.689741,-74.047675
31154313514,85735042@N07,40.759005,-73.979203
31154312924,85735042@N07,40.759005,-73.979203
31154312174,85735042@N07,40.758961,-73.979309
31154311784,85735042@N07,40.758961,-73.979309
31154311014,85735042@N07,40.758961,-73.979309
31154310114,85735042@N07,40.760941,-73.985534
31154307974,85735042@N07,40.760716,-73.986145
31185193223,85735042@N07,40.709566,-74.012231
31154304574,85735042@N07,40.709566,-74.012223
31154303884,85735042@N07,40.710250,-74.011956
31154302984,85735042@N07,40.712916,-74.012628
31154302274,85735042@N07,40.710525,-74.011764
31154301524,85735042@N07,40.710525,-74.011764
31154300574,85735042@N07,40.710525,-74.011764
31154300044,85735042@N07,40.710525,-74.011764
31154299194,85735042@N07,40.711966,-74.014756
31154298524,85735042@N07,40.711991,-74.014770
31154298034,85735042@N07,40.710847,-74.011934
31154296614,85735042@N07,40.710213,-74.012520
31154295974,85735042@N07,40.705933,-74.010139
31154295234,85735042@N07,40.705750,-74.013953
31846432552,85735042@N07,40.702044,-74.010309
31846430282,85735042@N07,40.704311,-74.011375
31846427582,85735042@N07,40.760902,-73.986048
31846424282,85735042@N07,40.760819,-73.986398
31183906863,48889060482@N01,40.811049,-73.915839
31876557581,48889060482@N01,40.811049,-73.915839
31619481660,48889060482@N01,40.811049,-73.915839
31955806436,140502452@N04,40.762211,-73.918418
31992975485,48068176@N06,40.760377,-73.952009
